# x	y	u	v	mask
  2.9838	  3.8127	  0.0275	 -0.0731	  0.0000
  3.1496	  3.8127	 -0.0276	  0.0133	  0.0000
  3.3154	  3.8127	 -0.0250	  0.0022	  0.0000
  3.4811	  3.8127	 -0.0031	  0.0009	  0.0000
  3.6469	  3.8127	 -0.0027	  0.0086	  0.0000
  3.8127	  3.8127	  0.0017	  0.0070	  0.0000
  3.9785	  3.8127	  0.0095	 -0.0185	  0.0000
  4.1442	  3.8127	  0.1555	  0.0149	  0.0000
  4.3100	  3.8127	 -0.0042	 -0.0229	  0.0000
  4.4758	  3.8127	 -0.0073	 -0.0086	  0.0000
  4.6415	  3.8127	  0.0002	 -0.0066	  0.0000
  4.8073	  3.8127	  0.0197	  0.0006	  0.0000
  4.9731	  3.8127	  0.0071	  0.0018	  0.0000
  5.1388	  3.8127	 -0.0013	 -0.0023	  0.0000
  5.3046	  3.8127	  0.5179	  7.9132	  0.0000
  5.4704	  3.8127	 -0.0048	  0.1764	  0.0000
  5.6361	  3.8127	 -0.0048	  0.1764	  0.0000
  5.8019	  3.8127	 -0.0125	  0.0578	  0.0000
  5.9677	  3.8127	  0.0030	  0.0266	  0.0000
  6.1334	  3.8127	  0.0062	  0.0128	  0.0000
  6.2992	  3.8127	 -0.0020	 -0.0079	  0.0000
  6.4650	  3.8127	 -0.0229	 -0.0048	  0.0000
  0.1658	  3.6469	 -0.0113	 -0.0168	  0.0000
  0.3315	  3.6469	 -0.0072	 -0.0361	  0.0000
  0.4973	  3.6469	 -0.0107	 -0.0202	  0.0000
  0.6631	  3.6469	  0.0163	 -0.0139	  0.0000
  0.8288	  3.6469	  0.0787	  0.0920	  0.0000
  0.9946	  3.6469	  0.0009	  0.2424	  0.0000
  1.1604	  3.6469	  0.0070	  0.1515	  0.0000
  1.3262	  3.6469	  0.1087	  0.0996	  0.0000
  1.4919	  3.6469	  0.2105	  0.1218	  0.0000
  1.6577	  3.6469	  0.2308	  0.1803	  0.0000
  1.8235	  3.6469	  0.0976	  0.1279	  0.0000
  1.9892	  3.6469	  0.0637	 -0.0517	  0.0000
  2.1550	  3.6469	 -0.1171	 -0.0492	  0.0000
  2.3208	  3.6469	 -0.1602	 -0.0072	  0.0000
  2.4865	  3.6469	  0.0015	 -0.0540	  0.0000
  2.6523	  3.6469	  0.4446	 -0.4021	  0.0000
  2.8181	  3.6469	  0.4148	 -0.1701	  0.0000
  2.9838	  3.6469	  0.0191	 -0.0440	  0.0000
  3.1496	  3.6469	 -0.0153	  0.0062	  0.0000
  3.3154	  3.6469	  0.0020	  0.0187	  0.0000
  3.4811	  3.6469	  0.0029	  0.0119	  0.0000
  3.6469	  3.6469	  0.0030	 -0.0002	  0.0000
  3.8127	  3.6469	  0.0036	 -0.0019	  0.0000
  3.9785	  3.6469	 -0.0327	 -0.0878	  0.0000
  4.1442	  3.6469	 -0.1564	 -0.3353	  0.0000
  4.3100	  3.6469	 -0.0333	 -0.0002	  0.0000
  4.4758	  3.6469	 -0.0221	 -0.0311	  0.0000
  4.6415	  3.6469	  0.0010	 -0.0055	  0.0000
  4.8073	  3.6469	  0.0107	 -0.0015	  0.0000
  4.9731	  3.6469	 -0.0072	  0.0017	  0.0000
  5.1388	  3.6469	  0.0002	 -0.0028	  0.0000
  5.3046	  3.6469	  0.1888	 -0.1700	  0.0000
  5.4704	  3.6469	  0.0189	  0.3636	  0.0000
  5.6361	  3.6469	  0.0392	  0.3817	  0.0000
  5.8019	  3.6469	  0.0020	  0.0776	  0.0000
  5.9677	  3.6469	  0.0102	  0.0084	  0.0000
  6.1334	  3.6469	  0.0095	  0.0019	  0.0000
  6.2992	  3.6469	 -0.0042	 -0.0075	  0.0000
  6.4650	  3.6469	  0.0143	 -0.0342	  0.0000
  0.1658	  3.4811	  0.0030	  0.0208	  0.0000
  0.3315	  3.4811	 -0.0070	 -0.0157	  0.0000
  0.4973	  3.4811	 -0.0872	  0.0149	  0.0000
  0.6631	  3.4811	 -0.0176	  0.0263	  0.0000
  0.8288	  3.4811	  0.1984	  0.1785	  0.0000
